path,namespace,primary_type,type_category,approx_lines,base_type,interfaces,direct_dependencies,lifecycle_methods,state_complexity,main_responsibility,suspected_additional_responsibilities,scope,intended_reuse,confidence
Assets/ShooterMover/UI/Hub/UnityHubRouteDestinationAdapterV1.cs,ShooterMover.UI.Hub,UnityHubRouteDestinationAdapterV1,route adapter,unknown,MonoBehaviour,,"scene loading;Hub destination",unknown,low,perform Hub navigation,,Unity adapter,scene-specific,medium
Assets/ShooterMover/UI/PlaySelection/PlaySelectionProductionRoutingV1.cs,ShooterMover.UI.PlaySelection,PlaySelectionProductionRoutingV1,route adapter,unknown,MonoBehaviour,,"route contexts;scene loading",unknown,low,route play selection,,presentation,scene-specific,medium
Assets/ShooterMover/UI/LevelSelection/LevelSelectionRoutingV1.cs,ShooterMover.UI.LevelSelection,LevelSelectionRoutingV1,route adapter,unknown,MonoBehaviour,,"route contexts;level selection",unknown,low,route selected level,"may know Stage1 composition details",presentation,scene-specific,medium
Assets/ShooterMover/Runtime/Application/Flow/Hub/ProductionSessionAuthorityContextV1.cs,ShooterMover.Application.Flow.Hub,ProductionSessionAuthorityContextV1,immutable context,unknown,object,,"persistent authorities",none,low,carry authority bundle across flow,,application,global,medium
Assets/ShooterMover/Runtime/Application/Flow/Hub/StarterRouteProfileFactoryV1.cs,ShooterMover.Application.Flow.Hub,StarterRouteProfileFactoryV1,factory,unknown,object,,"profile;starter holdings/loadout",none,low,create deterministic starter route profile,,application,global,medium
Assets/ShooterMover/Runtime/Application/Flow/Hub/CharacterSelectionEntryRouteContextV1.cs,ShooterMover.Application.Flow.Hub,CharacterSelectionEntryRouteContextV1,immutable route payload,unknown,object,,"profile/session context",none,low,route into character selection,,application,global,medium
Assets/ShooterMover/Runtime/Application/Flow/Hub/PlaySelectionEntryRouteContextV1.cs,ShooterMover.Application.Flow.Hub,PlaySelectionEntryRouteContextV1,immutable route payload,unknown,object,,"profile/session context",none,low,route into play selection,,application,global,medium
Assets/ShooterMover/Runtime/Application/Flow/Hub/HubReturnRouteContextV1.cs,ShooterMover.Application.Flow.Hub,HubReturnRouteContextV1,immutable route payload,unknown,object,,"profile/session context",none,low,return to same Hub state,,application,global,medium
Assets/ShooterMover/Runtime/Contracts/Missions/Run/LevelRunContractsV1.cs,ShooterMover.Contracts.Missions.Run,LevelRunContractsV1,contracts,unknown,object,see source,"StableId;immutable payloads",none,low,define run commands/results/events,,domain/application contract,global,medium
Assets/ShooterMover/ContentPackages/Rooms/Stage1VisibleSlicePresentation/*,various,Stage1VisibleSliceRoomPresentation,presentation package,unknown,MonoBehaviour,see source,"room bounds;visual assets;Unity",unknown,medium,present Stage1 rooms,"may include generic room visuals",presentation,stage-specific,low
Assets/ShooterMover/ContentPackages/Weapons/Shared/Runtime/*,various,BoundedProjectile2D and related,gameplay runtime,unknown,MonoBehaviour,see source,"physics;combat;Unity",Update|FixedUpdate|collision,medium,reusable projectile runtime,"lifetime;collision;damage",Unity adapter,global,medium
Assets/ShooterMover/ContentPackages/Enemies/BlasterTurret/*,various,BlasterTurretPackage and authority,enemy package,unknown,mixed,see source,"enemy domain;targeting;projectiles;Unity",mixed,medium,blaster turret behaviour and presentation,"cadence;health;restart",mixed,global,medium
Assets/ShooterMover/ContentPackages/Enemies/MobileBlasterDroid/*,various,MobileBlasterDroidRuntime2D and definition,enemy package,unknown,mixed,see source,"movement;targeting;combat;Unity",mixed,medium,mobile ranged enemy,"health;attack;visuals;restart",mixed,global,medium
Assets/ShooterMover/Runtime/Application/Missions/Rooms/*,ShooterMover.Application.Missions.Rooms,RoomMissionLayoutV1,application runtime,unknown,object,,"room graph definitions;StableId",none,medium,track current room and traversal,"restart;transition validation",application,mode-specific,medium
Assets/ShooterMover/Content/Definitions/Missions/Rooms/*,ShooterMover.Content.Definitions.Missions.Rooms,Level1RoomGraphDefinitionV1 and RoomContentDefinition2D,data definitions,unknown,ScriptableObject/mixed,,"StableId;prefab placement data",none,low,define room graph/content,,content,stage-specific,medium
